investor_id,investor_name,estimated_net_worth,phone_number,email
IN_5201,Jason Anderson,21334169,555-343-5934,jason.anderson@example.com
IN_5203,Jessica Miller,18001404,555-529-8489,jessica.miller@example.com
IN_5276,William Anderson,35542971,555-711-9782,william.anderson@example.com
IN_5380,John Rogers,40590781,555-347-3352,john.rogers@example.com
IN_5487,Sharon Diaz,2104980,555-729-6780,sharon.diaz@example.com
IN_5508,Donald Kelly,29955378,555-291-2402,donald.kelly@example.com
IN_5569,Ruth Campbell,6541882,555-638-9914,ruth.campbell@example.com
IN_5579,Nicholas Cook,39188508,555-120-7397,nicholas.cook@example.com
IN_5657,Jacob Garcia,44659144,555-496-7116,jacob.garcia@example.com
IN_5729,Steven Williams,25964164,555-907-2106,steven.williams@example.com
IN_5735,Brian Walker,46097529,555-743-2698,brian.walker@example.com
IN_5777,Justin Nelson,10952966,555-145-6772,justin.nelson@example.com
IN_5883,Sharon Baker,45137283,555-279-8612,sharon.baker@example.com
IN_5930,Jose Morris,44395075,555-286-3209,jose.morris@example.com
IN_5949,William Collins,4481940,555-400-4302,william.collins@example.com
IN_6121,Jennifer Sanchez,4812260,555-423-6080,jennifer.sanchez@example.com
IN_6146,Carol Gomez,38442173,555-584-5150,carol.gomez@example.com
IN_6274,Robert Harris,21200577,555-465-1783,robert.harris@example.com
IN_6484,Raymond Nelson,20335256,555-227-7029,raymond.nelson@example.com
IN_6582,Karen Phillips,31510225,555-495-6554,karen.phillips@example.com
IN_6618,Lisa Murphy,48443930,555-609-7018,lisa.murphy@example.com
IN_6622,Eric Wright,7543964,555-844-7955,eric.wright@example.com
IN_6648,David Parker,42429956,555-942-3956,david.parker@example.com
IN_6734,Sharon Nguyen,23556134,555-205-2311,sharon.nguyen@example.com
IN_6742,Laura Nguyen,22568588,555-556-7981,laura.nguyen@example.com
IN_6795,Nancy Cruz,25591918,555-557-1693,nancy.cruz@example.com
IN_6833,Nathan Rivera,43261984,555-545-5498,nathan.rivera@example.com
IN_6835,Alexander Davis,7035927,555-787-7655,alexander.davis@example.com
IN_6839,George Rogers,47594474,555-263-1510,george.rogers@example.com
IN_6948,Christopher Cox,47505773,555-900-8179,christopher.cox@example.com
IN_6968,Robert Taylor,6511954,555-341-7001,robert.taylor@example.com
IN_7008,George Roberts,40067143,555-133-3513,george.roberts@example.com
IN_7038,Jerry Edwards,26895006,555-480-8273,jerry.edwards@example.com
IN_7095,Elizabeth Kelly,11240562,555-642-7012,elizabeth.kelly@example.com
IN_7129,Ronald Green,45591283,555-385-5089,ronald.green@example.com
IN_7204,Joseph Brown,14485473,555-611-9482,joseph.brown@example.com
IN_7207,Dorothy Bailey,9902806,555-368-5264,dorothy.bailey@example.com
IN_7249,Henry Edwards,16399577,555-726-5678,henry.edwards@example.com
IN_7349,Aaron Morales,15433741,555-225-3223,aaron.morales@example.com
IN_7351,Elizabeth Edwards,13586772,555-830-8292,elizabeth.edwards@example.com
IN_7366,Barbara Green,46817969,555-455-2063,barbara.green@example.com
IN_7670,Stephen Cooper,21485882,555-407-3580,stephen.cooper@example.com
IN_7673,Adam Thompson,26259329,555-620-4673,adam.thompson@example.com
IN_7678,Jessica Sanchez,11319869,555-342-9094,jessica.sanchez@example.com
IN_7724,Patricia Campbell,39179749,555-686-7044,patricia.campbell@example.com
IN_7800,Helen Peterson,10708799,555-726-2412,helen.peterson@example.com
IN_7925,William Flores,28720063,555-834-8842,william.flores@example.com
IN_7976,Ruth Evans,29476618,555-943-2208,ruth.evans@example.com
IN_8046,Thomas Green,45106613,555-175-8372,thomas.green@example.com
IN_8076,Helen Gutierrez,25119995,555-231-3981,helen.gutierrez@example.com
IN_8179,Thomas Parker,35746617,555-989-1907,thomas.parker@example.com
IN_8212,Jessica Gutierrez,12268694,555-411-3697,jessica.gutierrez@example.com
IN_8236,Charles Adams,49602473,555-330-6669,charles.adams@example.com
IN_8278,Eric Torres,7292198,555-356-4216,eric.torres@example.com
IN_8298,Alexander Peterson,20418097,555-228-5961,alexander.peterson@example.com
IN_8367,Benjamin Morgan,8269874,555-614-3762,benjamin.morgan@example.com
IN_8375,Sarah Howard,12347802,555-275-6531,sarah.howard@example.com
IN_8409,Larry Garcia,3904112,555-183-1744,larry.garcia@example.com
IN_8423,Frank Kelly,19760757,555-766-4453,frank.kelly@example.com
IN_8502,Laura Turner,43480554,555-754-1496,laura.turner@example.com
IN_8712,Donna Cooper,21439535,555-757-5949,donna.cooper@example.com
IN_8792,Sandra Young,47968957,555-515-5873,sandra.young@example.com
IN_8876,Ryan Martinez,48212074,555-161-3589,ryan.martinez@example.com
IN_8882,Jeffrey Turner,34497543,555-575-4342,jeffrey.turner@example.com
IN_8928,Sarah Cox,11641442,555-420-6231,sarah.cox@example.com
IN_9087,Nathan Hall,28757418,555-233-7070,nathan.hall@example.com
IN_9122,Carol Bailey,9125883,555-426-4960,carol.bailey@example.com
IN_9301,Helen Thomas,19949720,555-560-5061,helen.thomas@example.com
IN_9352,Christopher Gonzalez,5396063,555-397-7293,christopher.gonzalez@example.com
IN_9476,Benjamin Turner,18661136,555-986-3616,benjamin.turner@example.com
IN_9786,Laura Kelly,22985943,555-294-3610,laura.kelly@example.com
IN_9816,Donna Rogers,33327432,555-610-6055,donna.rogers@example.com
IN_9856,Donna Williams,8043092,555-502-9281,donna.williams@example.com
IN_9915,Ryan Walker,16438097,555-697-6781,ryan.walker@example.com
